image_name,ocr_confidence,username,rating,date,text
WhatsApp Image 2025-12-08 at 18.01.50_08ad1a6a.jpg,67.09615384615384,,5.0,,"5:58 @ mag wor APM 7%, ! © Varitad Parctrrse: Det, 20273 Pelee Be wooderti Review for: BEE Year 2024 « Capacity-183 L - Color Midnight Blossom Blue » Star Rating 5 - With Base Drawer Yes"" Fabulous Deepesh Jif, Sarvastipur District | © Verified Purchase May, 2024 SRRRANEBE? sritiont Review for: BEE Year 2024 » Capacity 183 L + Color Himalaya Poppy Biwe « Star Rating S > With Base Drawer Yes Good product fF Nandwan..., Jamnagar: : @ Verified Purchase - Mar, 2024 Review for: BEE Year-2024 +» Capaci"
WhatsApp Image 2025-12-08 at 18.01.50_a9b1b7e0.jpg,66.30263157894737,,5.0,,"5:58 @ may a so* APM 79, € AllReviews ' ead menos ane . A — ein 6321 reviews Qe! 1,674 User reviews sorted by ER ee) RUE: super Review for. BEE Year 2024 - Capacity 183 L + Color Camellia Purple « Star Rating 4, With Base Drawer ¥es Nice’ product... value for money For small family,that's ok Go far it guy's shiventt..., Affahabads @ Verified Purchase: Dec, 2023"
WhatsApp Image 2025-12-08 at 18.01.51_82382034.jpg,70.88775510204081,,1.0,,"Rohit'Bhartl, Begusaral (Cron) (6) ! O Verified Purchaee:: Jt, 2023 F 1 hint. Mind-blowing purchase Review for. BEE Year 2024 » Capacity 183 L:+ Color Cameilia Blue * Stat Rating'’4- With Base Drawer Yes, Very good produ Thankyou Fiipka And very valuable: Bit tu, Kolkata -f) Helpful for 24, H @ Verified Purctiase - Mar, 2024 BOWGIERE, Greet product Review for. BEE Year 2024- Capacity 183 L-- olor Camelia Purple + Star Rating 42 With Base Drawer Yes Nice product gf = r= Pallavi Tiwari, Chhatarpus"
WhatsApp Image 2025-12-08 at 18.01.51_bfe357a3.jpg,71.24,,5.0,,"5:58 @ mag eso"" M7 Paliawl Fiwar, Chheterper nimiws) () | @ Verified Purchase - Apr,.2023 - 4 PRD E: Must buy! Review for. BEE Year 2024 Capacity 183 L + Color Camellia Blue * Star Rating 4° With Base Drawer Yes Wow supertridge very nice product thank you for Flipkart delivery also fast price also nice thank you so much Flipkart Saha Aktar, Penhd De Franca @nmiess) @w) | '@ Verified Purctrase.: May, 2023 a. . shindite de; Worst experience ever! Review for. BEE Year 2024 * Capacity 183 L « Color "
WhatsApp Image 2025-12-08 at 18.01.53_aa476986.jpg,74.38129496402878,,5.0,,"5:58 @ may eso"" APM 7%, Review for, BEE Year 2024 + Capacity 183 L + Color Camettia Blue + Star Rating 4- With Base Drawer Yes My mom Is very happy 3 . Moinu.., North Twenty Fou... <r @ Verified Purchase - May, 2023 > Great product Review for: BEE Year 2024 ‘Capacity 163 L + Color Midnight Blossom Blue - Star Rating 5 With Base Drawer Yes Nice product. It's been 16 days since | bought it 16 days I'm posting a comment.so far | don't see.any kind of problem or if there Js any problem | will commen"
WhatsApp Image 2025-12-08 at 18.01.54_6bc99c1c.jpg,72.11764705882354,,5.0,,"5:58 @ ma a s0* APM 79, good best quality Samsung’s Kaitfpil..., Parlakhemundi : @ Verified Purchase: Jun, 2023 RRM classy product Review for. BEE Year: 2024. Gapacity 183, L’* Color Camelia Blue « Star Rating 4~ With Base Drawer Yes Great product as compared to other brand in the same price segment. 20 Years warranty on compressor other brands providing 10 years and the brand Ike Samsung Is still the best in our mind. All good b... age ——— = i Jaykisha..., Khamgaon Gnnaiss) Ga) ! ‘@ Vertfigd Pu"
WhatsApp Image 2025-12-08 at 18.01.55_3bec0952.jpg,69.26241134751773,,5.0,,"5:58 @ mae a s0* YS 7%, Puppy meu > Ou mauiy ¥* Wil Dass Wawel TED Product Is-good and performance and cooling-also good but over heat Pe ~? VENKATESH..., Coimbatore (© umn) ! @ Verified Purchase - ‘Apt, 2024 EIRENE: Fabuicus! Review for: BEE Year 2024 « Capacity 183 L-- Color Camellla Blué + Star Rating 4° With Base Drawer Yes Actually the products performance is very stent and But glass quality used inside is very thin‘and the vegetable basket sometimes bends a lot. You'can take a S’star produ"
WhatsApp Image 2025-12-08 at 18.01.55_790fe36f.jpg,70.65957446808511,,5.0,,"5:58 @ mMaK a s0* Mo 7%, ——— @ Verified Purchase. Dec;2023 AibtaER: A00s0me Review for: BEE Year 2024 «Capacity 163 L - Color Cameailia Blue + Star Rating 4° With Base Drawer Yes -Awesame a Very,good qua Best colling all Items.child Fast delivery Fast instalim Over all don Ram praves..., Sanand ! @ Verified Purchase- Oct,'2023 - 4 SESE: Wonderful Review for: BEE Year 2024 + Capacity 183 L:* Color Cameiia Blue ‘« Star Rating 4- With Base Drawer Yes, gaod Sodh...,,Sanali © Verified Purctiase- Nov,"
WhatsApp Image 2025-12-08 at 18.01.56_09a8048b.jpg,71.97540983606558,,5.0,,"5:58 @ ma a s0* M7, @ Veriied Purctrase : Mar, 2024 Ofaligd sx She Decent product: Review for: BEE Year 2024 + Capacity-183 L + Color Camellia Blue + Star Rating 4 With Basa Drawer Yes"" Good product ! © Verified Purchase - Apr, 2023 *EERREAEE: vins-biowing purchase Review for: BEE Year:2024 + Capacity 183 L + Colter Himalaya Poppy Bive « Star Rating 5 * With Base Drawer Yes ‘Very love it and it's performance is awesome. Buy all oy ae Reen..., Yamunanagar @ Verified Purchase - Apt, 2024 SRR SE: s"
WhatsApp Image 2025-12-08 at 18.01.56_d785eace.jpg,76.37373737373737,,4.0,,"Review for: BEE Year 2024.+.Capecity 183 L + Color Camellia Purple « Star Rating 4+ With Base Drawer Yes Nice quality Muntyappa we, Malur ! ‘@ Verified Purchase “May, 2023 MRAM BIE- Awesome Review for, BEE Year 2024 * Capacity 183 L « Color Cametfe Blue + Star Rating 4» With Base Drewer-Yés Excellent Jangeshwa.., Devarkadra @ Verified Purchase- Apr, 2023: hea. Best In.the market! Raview for: BEE-Year 2024 - Capacity 183 L + Color Camellia Purple + Star Rating 4° With Basé Drawer Yes Good Product"
WhatsApp Image 2025-12-08 at 18.01.56_e4654cb6.jpg,74.76146788990826,,5.0,,"5:58 @ Mag eso P79, | @ Verified Purchasa- Nov, 2023 Review for: BEE Year 2024 «Capacity 183 L + Color Camelila Blue » Star Rating 4+ With Base Drawer Yes Cooling is excellent nd the colour Is so beautiful.gud space Prince Gupta, Ghaziabad @ Verified Purchase- Mar, 2024 RAINE + GRAB Decent product, Review for. 8EEYear 2024 + Gapacity 183 L » Color Camelia Blve + Star Rating 4» With Base Drawer Yes Good product Saurab..., Shahjahanpu... ‘Cr Helpful fora"" i @ Verified Purchase -‘Apt, 2023 SERGE: M"
WhatsApp Image 2025-12-08 at 18.01.57_a143ce9c.jpg,95.0,,,,
WhatsApp Image 2025-12-08 at 18.01.57_d75fc0f2.jpg,73.5546218487395,,5.0,,"5:58 @ mag sor P79, © Verified Purchase: Apr, 2024 2 - Ciba. Simply awesome. Raview for. BEE Year 2024 : Capacity 183 L - Color Cameiiia Blue + Star Rating 4, With Base Drawer Yes Refrigerator-Is very goodndl, Bitu Manihi, DeogHar District ! © Verified Purctrase - Jun, 2023 bali x Sih Just okay Review for: BEE Year 2024 + Capacity-183 L + Color Camellia” Purple - Star Rating 4 With Base Drawer Yes"" Ovar all good but both side ovar hiting Musara..., Murshidabad District @ Verified Purchase - May,"
WhatsApp Image 2025-12-08 at 18.01.57_f5fb5b0e.jpg,38.666666666666664,"et © Gated Sveys age Meesho,User Deed * peated taysene",,,"et © Gated Sveys age Meesho,User Deed * peated taysene"
WhatsApp Image 2025-12-08 at 18.15.42_e51a8de4.jpg,66.30263157894737,,5.0,,"5:58 @ may a so* APM 79, € AllReviews ' ead menos ane . A — ein 6321 reviews Qe! 1,674 User reviews sorted by ER ee) RUE: super Review for. BEE Year 2024 - Capacity 183 L + Color Camellia Purple « Star Rating 4, With Base Drawer ¥es Nice’ product... value for money For small family,that's ok Go far it guy's shiventt..., Affahabads @ Verified Purchase: Dec, 2023"
WhatsApp Image 2025-12-08 at 18.15.47_4d4d4078.jpg,88.25,eat,,,eat
WhatsApp Image 2025-12-08 at 18.15.48_362c5d4f.jpg,61.56122448979592,,5.0,,"oS: + - btn ad Ove 'B.O + Ferric suchen, ‘Review tor: Color Awesome Lilac « RAM 8 GB + Storege 128 GE” WEE =0 = =~ Review for Qoior Awesome iceblue « RAM 6 G8 + Storage 266 GB Dispiay:it looks awesome, check my images. Camera: excelent picture and details captured ideo: Front camera’dk awesome. Battery: the normal user two days end heavy using user one days. © Vetind Pachans- Oxy, 2004 5.0 + Ferrite Review tor Color Awesome loebiue - RAM 6 Ga - Storage 128 GB Nica and affordable"
WhatsApp Image 2025-12-08 at 18.15.48_7cb87184.jpg,95.0,,,,
WhatsApp Image 2025-12-08 at 18.15.49_40f1faea.jpg,61.309859154929576,,5.0,,"- + h- hte ad Ove €& AllReviews PEE en) Cee) Commer) ( wae. S —— ._ joleaica} - 5.0 * necneene Raview for: Color Awesome Liec » RAM 8 GB - Storege 256 GB The camera bs Fantastic , Review for: Color Awesome icatlue + RAM 8 GB + Storage 128 GB Good phone from Sameung -— re ere"
WhatsApp Image 2025-12-08 at 18.15.49_c1ddc2ff.jpg,60.265822784810126,,4.0,,“UNE + HE aaa tMom 4.0 + 0d walt proaxt “Review for: Color Awesome loeblue « RAM 6 GB - Storage 124 GB Simple ok Raview for: Color Awesome LDec + RAM 8 GB - Storage 128 GB’ Nice mobile good quality camer and profomence Sem — ee © Vetta Peninee :@ pumate gn Belle 10 wee Review for: Color Awerome Lec - RAM 8 GB Storage 256 GB Best [EF phone
WhatsApp Image 2025-12-08 at 18.15.50_15ccb603.jpg,64.14035087719299,,2.0,,"for. Color Awesome Lec + RAM 8 08 - Siorage 288 G8"" tafled with the Brand New A3S Sabhcpt Gaba, Metta ! csmanestsihancnilaind Review for, Color Aiseoma inshfus - RAM 6 GB - Storage 258 G8 Looks and Fetures are Exillent. Sut'a litte bit Heat Issues while Charging and while using sfter 20/30 minutes. Hope Samsung ‘will solve this after Software updation. 8cz My last Cell phone Is. Galaxy... nore Faptar.., Kayegaeh e Velie’ Pvbese - 9 mane ege MNS 2 rnc Review for: Color Awesome Lec - RAM 8 GB - St"
WhatsApp Image 2025-12-08 at 18.15.50_1c2d86dd.jpg,68.59558823529412,,,,"+: aha MOm Camera ts Awesome Design Is Best in This Sectian “Review for, Color Awesome loablue « RAM 6 GB - Storage 126 GB Product Is best, Love the Camera quellty Heating problem with kettary,tt could be batter if samsung offer ‘BoCOmah over all best phone ih this segment 6 (Vatied Prchene - Danae age Rewtew for. Color Awesome icebiue « RAM 6 G8 » Storege 128 GB Display : The device has amazing diaplay, Software: The one UI Is 90 nice to ues: Battery : ‘the Device heats only.during the initial "
WhatsApp Image 2025-12-08 at 18.15.51_6aa9493a.jpg,95.0,,,,
WhatsApp Image 2025-12-08 at 18.15.51_6f2dae3f.jpg,59.57534246575342,,,,"~UNE + ahi Ana 'MOm tor. Color Awesome icablue + RAM 6 G8 + Storage 286 GB ellis. 0'- wm reac Review for: Color Awesome iceblive « RAM 8 GB - Storage 128 GB Good product Fiptar.. Trmnged © Vatind Parhee- by, A BRR 40> wom ene Reviow for: Color Awesome icebiue + RAM 8 GB + Storage 178 GB Overall good. 9 eee ia eae"
WhatsApp Image 2025-12-08 at 18.15.52_05fa59ac.jpg,0,,,,
WhatsApp Image 2025-12-08 at 18.15.52_ae7ef6a0 - Copy.jpg,66.83333333333333,SRS hae),,,SRS hae)
WhatsApp Image 2025-12-08 at 18.15.52_ae7ef6a0.jpg,66.83333333333333,SRS hae),,,SRS hae)
WhatsApp Image 2025-12-08 at 18.15.53_e0de8fdb.jpg,48.68181818181818,eens RYE Meh : 86 get al sift tie Ae ra ncndtit Sati tt dat,,,eens RYE Meh : 86 get al sift tie Ae ra ncndtit Sati tt dat
WhatsApp Image 2025-12-08 at 18.15.54_bd22910c.jpg,95.0,,,,
WhatsApp Image 2025-12-08 at 18.15.54_e0a304b7.jpg,70.88775510204081,,1.0,,"Rohit'Bhartl, Begusaral (Cron) (6) ! O Verified Purchaee:: Jt, 2023 F 1 hint. Mind-blowing purchase Review for. BEE Year 2024 » Capacity 183 L:+ Color Cameilia Blue * Stat Rating'’4- With Base Drawer Yes, Very good produ Thankyou Fiipka And very valuable: Bit tu, Kolkata -f) Helpful for 24, H @ Verified Purctiase - Mar, 2024 BOWGIERE, Greet product Review for. BEE Year 2024- Capacity 183 L-- olor Camelia Purple + Star Rating 42 With Base Drawer Yes Nice product gf = r= Pallavi Tiwari, Chhatarpus"
WhatsApp Image 2025-12-08 at 18.39.52_233a440b.jpg,0,,,,
WhatsApp Image 2025-12-08 at 18.39.53_e06b7845.jpg,56.5,MIRAGE STEAL ‘ TUNE,,,MIRAGE STEAL ‘ TUNE
WhatsApp Image 2025-12-08 at 18.39.54_bcec220e.jpg,85.25,ue,,,ue
WhatsApp Image 2025-12-08 at 18.39.54_db4914c9.jpg,58.166666666666664,. * att aly LOE reece fared Stes Tle,,,. * att aly LOE reece fared Stes Tle
WhatsApp Image 2025-12-08 at 18.39.55_9b86ef76.jpg,0,,,,
WhatsApp Image 2025-12-08 at 18.40.02_05803578.jpg,0,,,,
WhatsApp Image 2025-12-08 at 18.40.03_52fff006.jpg,58.2,Ae IN,,,Ae IN
WhatsApp Image 2025-12-08 at 18.40.03_9a02753d.jpg,90.5,>,,,>
WhatsApp Image 2025-12-08 at 18.40.03_aee6fcb7.jpg,59.5,Ee ieee ay,,,Ee ieee ay
WhatsApp Image 2025-12-08 at 18.40.04_087c7e5d.jpg,86.71428571428571,au,,,au
WhatsApp Image 2025-12-08 at 18.40.04_d539e653.jpg,95.0,,,,
WhatsApp Image 2025-12-08 at 18.40.04_f8542522.jpg,63.46666666666667,,4.0,,wes roel cATosediondo ed 4 T '
WhatsApp Image 2025-12-08 at 18.40.05_7d01486c.jpg,95.0,,,,
WhatsApp Image 2025-12-08 at 18.40.06_8b703aba.jpg,71.44444444444444,Bata ope fay,,,Bata ope fay
WhatsApp Image 2025-12-08 at 18.40.06_8fba8757.jpg,79.66666666666667,ein me,,,ein me
WhatsApp Image 2025-12-08 at 18.40.06_de55ce34.jpg,95.0,,,,
WhatsApp Image 2025-12-08 at 18.40.07_518bee13.jpg,63.6,exer pecsclte,,,exer pecsclte
WhatsApp Image 2025-12-08 at 18.40.07_66b9b6eb.jpg,76.11111111111111,n SUES,,,n SUES
WhatsApp Image 2025-12-08 at 18.40.07_f2da2d4e.jpg,95.0,,,,
WhatsApp Image 2025-12-08 at 18.40.08_74251169.jpg,95.0,,,,
WhatsApp Image 2025-12-08 at 18.40.08_abbc9bfd.jpg,44.875,bivae ier deg TSMR PR,,,bivae ier deg TSMR PR
WhatsApp Image 2025-12-08 at 18.40.09_4dde8503.jpg,88.84615384615384,“7,,,“7
WhatsApp Image 2025-12-08 at 18.40.09_9aa56423.jpg,73.21428571428571,,3.0,,3 3 RTM Tait RTM Tait
WhatsApp Image 2025-12-08 at 18.40.09_aa2c23ea.jpg,83.125,Maewliatacss,,,Maewliatacss
WhatsApp Image 2025-12-08 at 18.40.10_66655e8c.jpg,85.16666666666667,ee,,,ee
WhatsApp Image 2025-12-08 at 18.40.10_f0bd2258.jpg,83.83333333333333,ga i,,,ga i
WhatsApp Image 2025-12-08 at 18.40.10_f672f6ec.jpg,57.625,er Eo segianeny fine,,,er Eo segianeny fine
WhatsApp Image 2025-12-08 at 18.40.11_d0d5505a.jpg,69.75,PETER Het ety Tinta,,,PETER Het ety Tinta
WhatsApp Image 2025-12-08 at 18.40.11_d9a80a52.jpg,95.0,,,,
WhatsApp Image 2025-12-08 at 18.40.12_9316e2c8.jpg,95.0,,,,
WhatsApp Image 2025-12-08 at 18.40.12_9a76590b.jpg,69.625,"ERE, ences ARE AAl at",,,"ERE, ences ARE AAl at"
WhatsApp Image 2025-12-08 at 18.40.12_e7703400.jpg,50.0,"Rb KOA, ECOSDED ETE Ss",,,"Rb KOA, ECOSDED ETE Ss"
WhatsApp Image 2025-12-08 at 18.40.13_2263a1be.jpg,75.66666666666667,nT eh,,,nT eh
WhatsApp Image 2025-12-08 at 18.40.13_3dfcd042.jpg,65.375,~ es. ean,,,~ es. ean
WhatsApp Image 2025-12-08 at 18.40.13_5b973271.jpg,52.9375,wayne pes mu preene: Me SACs che nbn erie,,,wayne pes mu preene: Me SACs che nbn erie
WhatsApp Image 2025-12-08 at 18.40.14_01d83c32.jpg,49.583333333333336,"~+. a ee SBE dint SRS, US",,,"~+. a ee SBE dint SRS, US"
WhatsApp Image 2025-12-08 at 18.40.14_6e73218f.jpg,55.625,> Bad ne wm Sabeds seg a a ‘,,,> Bad ne wm Sabeds seg a a ‘
WhatsApp Image 2025-12-08 at 18.40.14_b9e369cc.jpg,38.125,— earl dcit rwcar he CDE,,,— earl dcit rwcar he CDE
WhatsApp Image 2025-12-08 at 18.40.15_4a0034ed.jpg,42.333333333333336,aiererer isl SOTTO : if Seo ey a bhai me shed cis,,,aiererer isl SOTTO : if Seo ey a bhai me shed cis
WhatsApp Image 2025-12-08 at 18.40.15_73da1f4a.jpg,95.0,,,,
WhatsApp Image 2025-12-08 at 18.40.15_e8df921e.jpg,57.875,nn bo eh cari) wy,,,nn bo eh cari) wy
WhatsApp Image 2025-12-08 at 18.40.16_4b04659e.jpg,43.27777777777778,,1.0,,: ete ye x o 7 a 0 . ‘ 1 : rt SBE dint
WhatsApp Image 2025-12-08 at 18.40.16_dbcfc946.jpg,62.111111111111114,"} , : Ronimnanitiy on a bahar Sher a",,,"} , : Ronimnanitiy on a bahar Sher a"
WhatsApp Image 2025-12-08 at 18.40.16_ed628868.jpg,60.2,o iN wy ‘ at,,,o iN wy ‘ at
WhatsApp Image 2025-12-08 at 18.40.17_4f21a299.jpg,44.142857142857146,"‘ S Rte SOAR, ECOSDED TES ars t ve” DETREI",,,"‘ S Rte SOAR, ECOSDED TES ars t ve” DETREI"
WhatsApp Image 2025-12-08 at 18.40.17_9e92b4da.jpg,72.125,\ Sra EEE.,,,\ Sra EEE.
WhatsApp Image 2025-12-08 at 18.40.17_b79e0bdc.jpg,55.75,e a,,,e a
WhatsApp Image 2025-12-08 at 18.40.18_335288db.jpg,41.7,"7 : N Rte SOAR, ECOSDED TES",,,"7 : N Rte SOAR, ECOSDED TES"
WhatsApp Image 2025-12-08 at 18.40.18_49b03dae.jpg,0,,,,
WhatsApp Image 2025-12-08 at 18.40.18_a9296205.jpg,56.333333333333336,"a hod ’ TS SBE dint me + —— im fn, EERE",,,"a hod ’ TS SBE dint me + —— im fn, EERE"
WhatsApp Image 2025-12-08 at 18.40.19_66730515.jpg,71.66666666666667,STE EEE OBE,,,STE EEE OBE
WhatsApp Image 2025-12-08 at 18.40.19_aeeefebb.jpg,88.1,COTE.,,,COTE.
WhatsApp Image 2025-12-08 at 18.40.20_8584b407.jpg,47.54545454545455,noe GPa i ass: WHR A Oon,,,noe GPa i ass: WHR A Oon
WhatsApp Image 2025-12-08 at 18.40.20_b12851d0.jpg,95.0,,,,
WhatsApp Image 2025-12-08 at 18.40.21_2957522f.jpg,48.875,woe Gat ass: WHR AM Oon,,,woe Gat ass: WHR AM Oon
WhatsApp Image 2025-12-08 at 18.40.21_56a1dd45.jpg,49.0,g ee ps . x ST Teen tS SE nee i RELATE,,,g ee ps . x ST Teen tS SE nee i RELATE
WhatsApp Image 2025-12-08 at 18.40.21_789b0f56.jpg,54.31578947368421,noe Dn iass- ARAM On > Plan a in the teen f cere rsturen as,,,noe Dn iass- ARAM On > Plan a in the teen f cere rsturen as
WhatsApp Image 2025-12-08 at 18.40.22_45b9a842.jpg,63.30769230769231,meyer debe Pao SVE Se a,,,meyer debe Pao SVE Se a
WhatsApp Image 2025-12-08 at 18.40.22_db7a879e.jpg,30.885416666666668,,2.0,,"6 97 ® eens Peo ae a : soe SS SS SVVOUE TET ET KKEKK ekOOCO oa F 8 econ neteen op i wo 06 & F @ Oar = ‘We are Kener ncge 2 coisa o 97 8 cy ‘ere Deby moby Chat acter puyyu Iniond loverny ooh RUN OR Ope QALY lel pire, Sn rumen Ree PE IMETTY Mate Bee, te mand out eak... Mend REN CUnINCHADAEE pole OA, oS F @ Ore Rage net monn nen Vaseneg een oP Une. mana manson Dernarpararn 90 Oo CONE 6& 97 @ ae Aida comment"
WhatsApp Image 2025-12-08 at 18.49.54_0a484214.jpg,61.285714285714285,rt SBE dint,,,rt SBE dint
WhatsApp Image 2025-12-08 at 19.41.04_0ee7f8fc.jpg,79.16666666666667,Urs,,,Urs
WhatsApp Image 2025-12-08 at 19.41.05_5ed2b2ff.jpg,34.31578947368421,woo @Dapias: AR Oem < ieeheras re erestiere sik oulid POM STEM SEE a viet,,,woo @Dapias: AR Oem < ieeheras re erestiere sik oulid POM STEM SEE a viet
WhatsApp Image 2025-12-08 at 19.41.05_99053ff9.jpg,95.0,,,,
WhatsApp Image 2025-12-08 at 19.41.05_b5adac52.jpg,71.47058823529412,,,,r ion aed wee ar 268 seem
WhatsApp Image 2025-12-08 at 19.41.05_b8f85e9e.jpg,95.0,,,,
WhatsApp Image 2025-12-08 at 19.41.06_7061e345.jpg,67.33333333333333,BHR UOEY,,,BHR UOEY
WhatsApp Image 2025-12-08 at 19.41.06_7cf027d9.jpg,65.83333333333333,RHA UOEY,,,RHA UOEY
WhatsApp Image 2025-12-08 at 19.41.06_f0009f81.jpg,50.166666666666664,RHR SU OEY & cab oh hi od,,,RHR SU OEY & cab oh hi od
WhatsApp Image 2025-12-08 at 19.41.07_48a15a2e.jpg,60.8,RHR UOGY,,,RHR UOGY
WhatsApp Image 2025-12-08 at 19.41.07_5b3d843f.jpg,55.285714285714285,wor @Daait os: RHR OE,,,wor @Daait os: RHR OE
WhatsApp Image 2025-12-08 at 19.41.07_f6542cbf.jpg,60.8,RHR UOGY,,,RHR UOGY
WhatsApp Image 2025-12-08 at 19.41.08_2fc50a05.jpg,55.285714285714285,weit TBS: RHR SUOEY,,,weit TBS: RHR SUOEY
WhatsApp Image 2025-12-08 at 19.41.08_391d0fa3.jpg,79.16666666666667,wBe-,,,wBe-
WhatsApp Image 2025-12-08 at 19.41.08_5799b855.jpg,79.16666666666667,wBe-,,,wBe-
WhatsApp Image 2025-12-08 at 19.41.08_57ad1183.jpg,55.285714285714285,weit TBS: RHR SUOEY,,,weit TBS: RHR SUOEY
WhatsApp Image 2025-12-08 at 19.41.08_7ef497a8.jpg,55.285714285714285,weit TBS: RHR SUOEY,,,weit TBS: RHR SUOEY
WhatsApp Image 2025-12-08 at 19.41.08_b7700b92.jpg,65.5,RHR SUOEY,,,RHR SUOEY
WhatsApp Image 2025-12-08 at 19.41.09_152a3601.jpg,53.57142857142857,wot @Doat os: BAWE MOE.,,,wot @Doat os: BAWE MOE.
WhatsApp Image 2025-12-08 at 19.41.09_da59fbb0.jpg,73.0,ae Oo.,,,ae Oo.
WhatsApp Image 2025-12-08 at 19.41.10_629f256a.jpg,78.55555555555556,ana Bra a,,,ana Bra a
WhatsApp Image 2025-12-08 at 19.41.10_8e80350d.jpg,65.66666666666667,ae Oo.,,,ae Oo.
WhatsApp Image 2025-12-08 at 19.41.10_f40e53a3.jpg,52.25,,,,oe @Dapiae: 2a Sd Oon i i ae bso)
WhatsApp Image 2025-12-08 at 19.41.11_335d853c.jpg,63.69230769230769,cote vneretnc ae ; a ] i,,,cote vneretnc ae ; a ] i
WhatsApp Image 2025-12-08 at 19.41.11_8caf4299.jpg,44.375,wes @Daer oe: ARE MOES,,,wes @Daer oe: ARE MOES
WhatsApp Image 2025-12-08 at 19.41.11_ad6c84d0.jpg,47.416666666666664,wcs @Doar oe: BAA MOE [hn ae,,,wcs @Doar oe: BAA MOE [hn ae
WhatsApp Image 2025-12-08 at 19.41.12_375d9756.jpg,80.28571428571429,ARR MOS,,,ARR MOS
WhatsApp Image 2025-12-08 at 19.41.12_6def9fb3.jpg,48.416666666666664,won @Dwait ne: ARR ‘Oe 08 eee Piao,,,won @Dwait ne: ARR ‘Oe 08 eee Piao
WhatsApp Image 2025-12-08 at 19.41.12_6ffaa407.jpg,62.0,we @Daapas- WHR SOs vist D Se EEE,,,we @Daapas- WHR SOs vist D Se EEE
WhatsApp Image 2025-12-08 at 19.41.13_62d6242e.jpg,45.285714285714285,- @crears- WH Ad ore,,,- @crears- WH Ad ore
WhatsApp Image 2025-12-08 at 19.41.13_86d57a52.jpg,65.25,"Qy foa EE BOR EES, EAL a REA",,,"Qy foa EE BOR EES, EAL a REA"
WhatsApp Image 2025-12-08 at 19.41.14_2d6ea1d6.jpg,51.375,,1.0,,1 @Dreais: WR Ad ore
WhatsApp Image 2025-12-08 at 19.41.14_377ca5b3.jpg,64.25,cs @Doar as: BARROS,,,cs @Doar as: BARROS
WhatsApp Image 2025-12-08 at 19.41.14_fb75a43f.jpg,48.92307692307692,wor @Doaias- ARE WOE deat Co peas bneys,,,wor @Doaias- ARE WOE deat Co peas bneys
WhatsApp Image 2025-12-08 at 19.41.15_0f40ae7d.jpg,54.18181818181818,ARE UOE® won @ar ns: Her dite,,,ARE UOE® won @ar ns: Her dite
WhatsApp Image 2025-12-08 at 19.41.15_2f95a53e.jpg,44.09090909090909,wc @Daanes: BR Oem oo. ESP ES,,,wc @Daanes: BR Oem oo. ESP ES
WhatsApp Image 2025-12-08 at 19.41.15_546c038a.jpg,55.75,AHA UOEY,,,AHA UOEY
